nFrame,time,TOY.ordinal,TOY.onset,TOY.offset,TOY.code01,LOOKING.ordinal,LOOKING.onset,LOOKING.offset,LOOKING.code01,
214,20952,1,17544,76108,"RING",1,17544,40833,"1",
215,20968,1,17544,76108,"RING",1,17544,40833,"1",
216,20984,1,17544,76108,"RING",1,17544,40833,"1",
217,21000,1,17544,76108,"RING",1,17544,40833,"1",
218,21016,1,17544,76108,"RING",1,17544,40833,"1",
219,21032,1,17544,76108,"RING",1,17544,40833,"1",
220,21048,1,17544,76108,"RING",1,17544,40833,"1",
221,21064,1,17544,76108,"RING",1,17544,40833,"1",
222,21080,1,17544,76108,"RING",1,17544,40833,"1",
223,21096,1,17544,76108,"RING",1,17544,40833,"1",
224,21112,1,17544,76108,"RING",1,17544,40833,"1",
225,21128,1,17544,76108,"RING",1,17544,40833,"1",
226,21144,1,17544,76108,"RING",1,17544,40833,"1",
227,21160,1,17544,76108,"RING",1,17544,40833,"1",
228,21176,1,17544,76108,"RING",1,17544,40833,"1",
229,21192,1,17544,76108,"RING",1,17544,40833,"1",
230,21208,1,17544,76108,"RING",1,17544,40833,"1",
231,21224,1,17544,76108,"RING",1,17544,40833,"1",
232,21240,1,17544,76108,"RING",1,17544,40833,"1",
233,21256,1,17544,76108,"RING",1,17544,40833,"1",
234,21272,1,17544,76108,"RING",1,17544,40833,"1",
235,21288,1,17544,76108,"RING",1,17544,40833,"1",
236,21304,1,17544,76108,"RING",1,17544,40833,"1",
237,21320,1,17544,76108,"RING",1,17544,40833,"1",
238,21336,1,17544,76108,"RING",1,17544,40833,"1",
239,21352,1,17544,76108,"RING",1,17544,40833,"1",
240,21368,1,17544,76108,"RING",1,17544,40833,"1",
241,21384,1,17544,76108,"RING",1,17544,40833,"1",
242,21400,1,17544,76108,"RING",1,17544,40833,"1",
243,21416,1,17544,76108,"RING",1,17544,40833,"1",
244,21432,1,17544,76108,"RING",1,17544,40833,"1",
245,21448,1,17544,76108,"RING",1,17544,40833,"1",
246,21464,1,17544,76108,"RING",1,17544,40833,"1",
247,21480,1,17544,76108,"RING",1,17544,40833,"1",
248,21496,1,17544,76108,"RING",1,17544,40833,"1",
249,21512,1,17544,76108,"RING",1,17544,40833,"1",
250,21528,1,17544,76108,"RING",1,17544,40833,"1",
251,21544,1,17544,76108,"RING",1,17544,40833,"1",
252,21560,1,17544,76108,"RING",1,17544,40833,"1",
253,21576,1,17544,76108,"RING",1,17544,40833,"1",
254,21592,1,17544,76108,"RING",1,17544,40833,"1",
255,21608,1,17544,76108,"RING",1,17544,40833,"1",
256,21624,1,17544,76108,"RING",1,17544,40833,"1",
257,21640,1,17544,76108,"RING",1,17544,40833,"1",
258,21656,1,17544,76108,"RING",1,17544,40833,"1",
259,21672,1,17544,76108,"RING",1,17544,40833,"1",
260,21688,1,17544,76108,"RING",1,17544,40833,"1",
261,21704,1,17544,76108,"RING",1,17544,40833,"1",
262,21720,1,17544,76108,"RING",1,17544,40833,"1",
263,21736,1,17544,76108,"RING",1,17544,40833,"1",
264,21752,1,17544,76108,"RING",1,17544,40833,"1",
265,21768,1,17544,76108,"RING",1,17544,40833,"1",
266,21784,1,17544,76108,"RING",1,17544,40833,"1",
267,21800,1,17544,76108,"RING",1,17544,40833,"1",
268,21816,1,17544,76108,"RING",1,17544,40833,"1",
269,21832,1,17544,76108,"RING",1,17544,40833,"1",
270,21848,1,17544,76108,"RING",1,17544,40833,"1",
271,21864,1,17544,76108,"RING",1,17544,40833,"1",
272,21880,1,17544,76108,"RING",1,17544,40833,"1",
273,21896,1,17544,76108,"RING",1,17544,40833,"1",
274,21912,1,17544,76108,"RING",1,17544,40833,"1",
275,21928,1,17544,76108,"RING",1,17544,40833,"1",
276,21944,1,17544,76108,"RING",1,17544,40833,"1",
277,21960,1,17544,76108,"RING",1,17544,40833,"1",
278,21976,1,17544,76108,"RING",1,17544,40833,"1",
279,21992,1,17544,76108,"RING",1,17544,40833,"1",
280,22008,1,17544,76108,"RING",1,17544,40833,"1",
281,22024,1,17544,76108,"RING",1,17544,40833,"1",
282,22040,1,17544,76108,"RING",1,17544,40833,"1",
283,22056,1,17544,76108,"RING",1,17544,40833,"1",
284,22072,1,17544,76108,"RING",1,17544,40833,"1",
285,22088,1,17544,76108,"RING",1,17544,40833,"1",
286,22104,1,17544,76108,"RING",1,17544,40833,"1",
287,22120,1,17544,76108,"RING",1,17544,40833,"1",
288,22136,1,17544,76108,"RING",1,17544,40833,"1",
289,22152,1,17544,76108,"RING",1,17544,40833,"1",
290,22168,1,17544,76108,"RING",1,17544,40833,"1",
291,22184,1,17544,76108,"RING",1,17544,40833,"1",
292,22200,1,17544,76108,"RING",1,17544,40833,"1",
293,22216,1,17544,76108,"RING",1,17544,40833,"1",
294,22232,1,17544,76108,"RING",1,17544,40833,"1",
295,22248,1,17544,76108,"RING",1,17544,40833,"1",
296,22264,1,17544,76108,"RING",1,17544,40833,"1",
297,22280,1,17544,76108,"RING",1,17544,40833,"1",
298,22296,1,17544,76108,"RING",1,17544,40833,"1",
299,22312,1,17544,76108,"RING",1,17544,40833,"1",
300,22328,1,17544,76108,"RING",1,17544,40833,"1",
301,22344,1,17544,76108,"RING",1,17544,40833,"1",
302,22360,1,17544,76108,"RING",1,17544,40833,"1",
303,22376,1,17544,76108,"RING",1,17544,40833,"1",
304,22392,1,17544,76108,"RING",1,17544,40833,"1",
305,22408,1,17544,76108,"RING",1,17544,40833,"1",
306,22424,1,17544,76108,"RING",1,17544,40833,"1",
307,22440,1,17544,76108,"RING",1,17544,40833,"1",
308,22456,1,17544,76108,"RING",1,17544,40833,"1",
309,22472,1,17544,76108,"RING",1,17544,40833,"1",
310,22488,1,17544,76108,"RING",1,17544,40833,"1",
311,22504,1,17544,76108,"RING",1,17544,40833,"1",
312,22520,1,17544,76108,"RING",1,17544,40833,"1",
313,22536,1,17544,76108,"RING",1,17544,40833,"1",
314,22552,1,17544,76108,"RING",1,17544,40833,"1",
315,22568,1,17544,76108,"RING",1,17544,40833,"1",
316,22584,1,17544,76108,"RING",1,17544,40833,"1",
317,22600,1,17544,76108,"RING",1,17544,40833,"1",
318,22616,1,17544,76108,"RING",1,17544,40833,"1",
319,22632,1,17544,76108,"RING",1,17544,40833,"1",
320,22648,1,17544,76108,"RING",1,17544,40833,"1",
321,22664,1,17544,76108,"RING",1,17544,40833,"1",
322,22680,1,17544,76108,"RING",1,17544,40833,"1",
323,22696,1,17544,76108,"RING",1,17544,40833,"1",
324,22712,1,17544,76108,"RING",1,17544,40833,"1",
325,22728,1,17544,76108,"RING",1,17544,40833,"1",
326,22744,1,17544,76108,"RING",1,17544,40833,"1",
327,22760,1,17544,76108,"RING",1,17544,40833,"1",
328,22776,1,17544,76108,"RING",1,17544,40833,"1",
329,22792,1,17544,76108,"RING",1,17544,40833,"1",
330,22808,1,17544,76108,"RING",1,17544,40833,"1",
331,22824,1,17544,76108,"RING",1,17544,40833,"1",
332,22840,1,17544,76108,"RING",1,17544,40833,"1",
333,22856,1,17544,76108,"RING",1,17544,40833,"1",
334,22872,1,17544,76108,"RING",1,17544,40833,"1",
335,22888,1,17544,76108,"RING",1,17544,40833,"1",
336,22904,1,17544,76108,"RING",1,17544,40833,"1",
337,22920,1,17544,76108,"RING",1,17544,40833,"1",
338,22936,1,17544,76108,"RING",1,17544,40833,"1",
339,22952,1,17544,76108,"RING",1,17544,40833,"1",
340,22968,1,17544,76108,"RING",1,17544,40833,"1",
341,22984,1,17544,76108,"RING",1,17544,40833,"1",
342,23000,1,17544,76108,"RING",1,17544,40833,"1",
343,23016,1,17544,76108,"RING",1,17544,40833,"1",
344,23032,1,17544,76108,"RING",1,17544,40833,"1",
345,23048,1,17544,76108,"RING",1,17544,40833,"1",
346,23064,1,17544,76108,"RING",1,17544,40833,"1",
347,23080,1,17544,76108,"RING",1,17544,40833,"1",
348,23096,1,17544,76108,"RING",1,17544,40833,"1",
349,23112,1,17544,76108,"RING",1,17544,40833,"1",
350,23128,1,17544,76108,"RING",1,17544,40833,"1",
351,23144,1,17544,76108,"RING",1,17544,40833,"1",
352,23160,1,17544,76108,"RING",1,17544,40833,"1",
353,23176,1,17544,76108,"RING",1,17544,40833,"1",
354,23192,1,17544,76108,"RING",1,17544,40833,"1",
355,23208,1,17544,76108,"RING",1,17544,40833,"1",
356,23224,1,17544,76108,"RING",1,17544,40833,"1",
357,23240,1,17544,76108,"RING",1,17544,40833,"1",
358,23256,1,17544,76108,"RING",1,17544,40833,"1",
359,23272,1,17544,76108,"RING",1,17544,40833,"1",
360,23288,1,17544,76108,"RING",1,17544,40833,"1",
361,23304,1,17544,76108,"RING",1,17544,40833,"1",
362,23320,1,17544,76108,"RING",1,17544,40833,"1",
363,23336,1,17544,76108,"RING",1,17544,40833,"1",
364,23352,1,17544,76108,"RING",1,17544,40833,"1",
365,23368,1,17544,76108,"RING",1,17544,40833,"1",
366,23384,1,17544,76108,"RING",1,17544,40833,"1",
367,23400,1,17544,76108,"RING",1,17544,40833,"1",
368,23416,1,17544,76108,"RING",1,17544,40833,"1",
369,23432,1,17544,76108,"RING",1,17544,40833,"1",
370,23448,1,17544,76108,"RING",1,17544,40833,"1",
371,23464,1,17544,76108,"RING",1,17544,40833,"1",
372,23480,1,17544,76108,"RING",1,17544,40833,"1",
373,23496,1,17544,76108,"RING",1,17544,40833,"1",
374,23512,1,17544,76108,"RING",1,17544,40833,"1",
375,23528,1,17544,76108,"RING",1,17544,40833,"1",
376,23544,1,17544,76108,"RING",1,17544,40833,"1",
377,23560,1,17544,76108,"RING",1,17544,40833,"1",
378,23576,1,17544,76108,"RING",1,17544,40833,"1",
379,23592,1,17544,76108,"RING",1,17544,40833,"1",
380,23608,1,17544,76108,"RING",1,17544,40833,"1",
381,23624,1,17544,76108,"RING",1,17544,40833,"1",
382,23640,1,17544,76108,"RING",1,17544,40833,"1",
383,23656,1,17544,76108,"RING",1,17544,40833,"1",
384,23672,1,17544,76108,"RING",1,17544,40833,"1",
385,23688,1,17544,76108,"RING",1,17544,40833,"1",
386,23704,1,17544,76108,"RING",1,17544,40833,"1",
387,23720,1,17544,76108,"RING",1,17544,40833,"1",
388,23736,1,17544,76108,"RING",1,17544,40833,"1",
389,23752,1,17544,76108,"RING",1,17544,40833,"1",
390,23768,1,17544,76108,"RING",1,17544,40833,"1",
391,23784,1,17544,76108,"RING",1,17544,40833,"1",
392,23800,1,17544,76108,"RING",1,17544,40833,"1",
393,23816,1,17544,76108,"RING",1,17544,40833,"1",
394,23832,1,17544,76108,"RING",1,17544,40833,"1",
395,23848,1,17544,76108,"RING",1,17544,40833,"1",
396,23864,1,17544,76108,"RING",1,17544,40833,"1",
397,23880,1,17544,76108,"RING",1,17544,40833,"1",
398,23896,1,17544,76108,"RING",1,17544,40833,"1",
399,23912,1,17544,76108,"RING",1,17544,40833,"1",
400,23928,1,17544,76108,"RING",1,17544,40833,"1",
401,23944,1,17544,76108,"RING",1,17544,40833,"1",
402,23960,1,17544,76108,"RING",1,17544,40833,"1",
403,23976,1,17544,76108,"RING",1,17544,40833,"1",
404,23992,1,17544,76108,"RING",1,17544,40833,"1",
405,24008,1,17544,76108,"RING",1,17544,40833,"1",
406,24024,1,17544,76108,"RING",1,17544,40833,"1",
407,24040,1,17544,76108,"RING",1,17544,40833,"1",
408,24056,1,17544,76108,"RING",1,17544,40833,"1",
409,24072,1,17544,76108,"RING",1,17544,40833,"1",
410,24088,1,17544,76108,"RING",1,17544,40833,"1",
411,24104,1,17544,76108,"RING",1,17544,40833,"1",
412,24120,1,17544,76108,"RING",1,17544,40833,"1",
413,24136,1,17544,76108,"RING",1,17544,40833,"1",
414,24152,1,17544,76108,"RING",1,17544,40833,"1",
415,24168,1,17544,76108,"RING",1,17544,40833,"1",
416,24184,1,17544,76108,"RING",1,17544,40833,"1",
417,24200,1,17544,76108,"RING",1,17544,40833,"1",
418,24216,1,17544,76108,"RING",1,17544,40833,"1",
419,24232,1,17544,76108,"RING",1,17544,40833,"1",
420,24248,1,17544,76108,"RING",1,17544,40833,"1",
421,24264,1,17544,76108,"RING",1,17544,40833,"1",
422,24280,1,17544,76108,"RING",1,17544,40833,"1",
423,24296,1,17544,76108,"RING",1,17544,40833,"1",
424,24312,1,17544,76108,"RING",1,17544,40833,"1",
425,24328,1,17544,76108,"RING",1,17544,40833,"1",
426,24344,1,17544,76108,"RING",1,17544,40833,"1",
427,24360,1,17544,76108,"RING",1,17544,40833,"1",
428,24376,1,17544,76108,"RING",1,17544,40833,"1",
429,24392,1,17544,76108,"RING",1,17544,40833,"1",
430,24408,1,17544,76108,"RING",1,17544,40833,"1",
431,24424,1,17544,76108,"RING",1,17544,40833,"1",
432,24440,1,17544,76108,"RING",1,17544,40833,"1",
433,24456,1,17544,76108,"RING",1,17544,40833,"1",
434,24472,1,17544,76108,"RING",1,17544,40833,"1",
435,24488,1,17544,76108,"RING",1,17544,40833,"1",
436,24504,1,17544,76108,"RING",1,17544,40833,"1",
437,24520,1,17544,76108,"RING",1,17544,40833,"1",
438,24536,1,17544,76108,"RING",1,17544,40833,"1",
439,24552,1,17544,76108,"RING",1,17544,40833,"1",
440,24568,1,17544,76108,"RING",1,17544,40833,"1",
441,24584,1,17544,76108,"RING",1,17544,40833,"1",
442,24600,1,17544,76108,"RING",1,17544,40833,"1",
443,24616,1,17544,76108,"RING",1,17544,40833,"1",
444,24632,1,17544,76108,"RING",1,17544,40833,"1",
445,24648,1,17544,76108,"RING",1,17544,40833,"1",
446,24664,1,17544,76108,"RING",1,17544,40833,"1",
447,24680,1,17544,76108,"RING",1,17544,40833,"1",
448,24696,1,17544,76108,"RING",1,17544,40833,"1",
449,24712,1,17544,76108,"RING",1,17544,40833,"1",
450,24728,1,17544,76108,"RING",1,17544,40833,"1",
451,24744,1,17544,76108,"RING",1,17544,40833,"1",
452,24760,1,17544,76108,"RING",1,17544,40833,"1",
453,24776,1,17544,76108,"RING",1,17544,40833,"1",
454,24792,1,17544,76108,"RING",1,17544,40833,"1",
455,24808,1,17544,76108,"RING",1,17544,40833,"1",
456,24824,1,17544,76108,"RING",1,17544,40833,"1",
457,24840,1,17544,76108,"RING",1,17544,40833,"1",
458,24856,1,17544,76108,"RING",1,17544,40833,"1",
459,24872,1,17544,76108,"RING",1,17544,40833,"1",
460,24888,1,17544,76108,"RING",1,17544,40833,"1",
461,24904,1,17544,76108,"RING",1,17544,40833,"1",
462,24920,1,17544,76108,"RING",1,17544,40833,"1",
463,24936,1,17544,76108,"RING",1,17544,40833,"1",
464,24952,1,17544,76108,"RING",1,17544,40833,"1",
465,24968,1,17544,76108,"RING",1,17544,40833,"1",
466,24984,1,17544,76108,"RING",1,17544,40833,"1",
467,25000,1,17544,76108,"RING",1,17544,40833,"1",
468,25016,1,17544,76108,"RING",1,17544,40833,"1",
469,25032,1,17544,76108,"RING",1,17544,40833,"1",
470,25048,1,17544,76108,"RING",1,17544,40833,"1",
471,25064,1,17544,76108,"RING",1,17544,40833,"1",
472,25080,1,17544,76108,"RING",1,17544,40833,"1",
473,25096,1,17544,76108,"RING",1,17544,40833,"1",
474,25112,1,17544,76108,"RING",1,17544,40833,"1",
