nFrame,time,TOY.ordinal,TOY.onset,TOY.offset,TOY.code01,LOOKING.ordinal,LOOKING.onset,LOOKING.offset,LOOKING.code01,
136,15709,1,11254,142901,"RING",3,15436,27369,"1",
137,15742,1,11254,142901,"RING",3,15436,27369,"1",
138,15775,1,11254,142901,"RING",3,15436,27369,"1",
139,15808,1,11254,142901,"RING",3,15436,27369,"1",
140,15841,1,11254,142901,"RING",3,15436,27369,"1",
141,15874,1,11254,142901,"RING",3,15436,27369,"1",
142,15907,1,11254,142901,"RING",3,15436,27369,"1",
143,15940,1,11254,142901,"RING",3,15436,27369,"1",
144,15973,1,11254,142901,"RING",3,15436,27369,"1",
145,16006,1,11254,142901,"RING",3,15436,27369,"1",
146,16039,1,11254,142901,"RING",3,15436,27369,"1",
147,16072,1,11254,142901,"RING",3,15436,27369,"1",
148,16105,1,11254,142901,"RING",3,15436,27369,"1",
149,16138,1,11254,142901,"RING",3,15436,27369,"1",
150,16171,1,11254,142901,"RING",3,15436,27369,"1",
151,16204,1,11254,142901,"RING",3,15436,27369,"1",
152,16237,1,11254,142901,"RING",3,15436,27369,"1",
153,16270,1,11254,142901,"RING",3,15436,27369,"1",
154,16303,1,11254,142901,"RING",3,15436,27369,"1",
155,16336,1,11254,142901,"RING",3,15436,27369,"1",
156,16369,1,11254,142901,"RING",3,15436,27369,"1",
157,16402,1,11254,142901,"RING",3,15436,27369,"1",
158,16435,1,11254,142901,"RING",3,15436,27369,"1",
159,16468,1,11254,142901,"RING",3,15436,27369,"1",
160,16501,1,11254,142901,"RING",3,15436,27369,"1",
161,16534,1,11254,142901,"RING",3,15436,27369,"1",
162,16567,1,11254,142901,"RING",3,15436,27369,"1",
163,16600,1,11254,142901,"RING",3,15436,27369,"1",
164,16633,1,11254,142901,"RING",3,15436,27369,"1",
165,16666,1,11254,142901,"RING",3,15436,27369,"1",
166,16699,1,11254,142901,"RING",3,15436,27369,"1",
167,16732,1,11254,142901,"RING",3,15436,27369,"1",
168,16765,1,11254,142901,"RING",3,15436,27369,"1",
169,16798,1,11254,142901,"RING",3,15436,27369,"1",
170,16831,1,11254,142901,"RING",3,15436,27369,"1",
171,16864,1,11254,142901,"RING",3,15436,27369,"1",
172,16897,1,11254,142901,"RING",3,15436,27369,"1",
173,16930,1,11254,142901,"RING",3,15436,27369,"1",
174,16963,1,11254,142901,"RING",3,15436,27369,"1",
175,16996,1,11254,142901,"RING",3,15436,27369,"1",
176,17029,1,11254,142901,"RING",3,15436,27369,"1",
177,17062,1,11254,142901,"RING",3,15436,27369,"1",
178,17095,1,11254,142901,"RING",3,15436,27369,"1",
179,17128,1,11254,142901,"RING",3,15436,27369,"1",
180,17161,1,11254,142901,"RING",3,15436,27369,"1",
181,17194,1,11254,142901,"RING",3,15436,27369,"1",
182,17227,1,11254,142901,"RING",3,15436,27369,"1",
183,17260,1,11254,142901,"RING",3,15436,27369,"1",
184,17293,1,11254,142901,"RING",3,15436,27369,"1",
185,17326,1,11254,142901,"RING",3,15436,27369,"1",
186,17359,1,11254,142901,"RING",3,15436,27369,"1",
