nFrame,time,Paradigm.ordinal,Paradigm.onset,Paradigm.offset,Paradigm.code01,Looking.ordinal,Looking.onset,Looking.offset,Looking.code01,
115,364877,1,360431,485603,"RING STACKER",3,361825,368097,"1",
116,364916,1,360431,485603,"RING STACKER",3,361825,368097,"1",
117,364955,1,360431,485603,"RING STACKER",3,361825,368097,"1",
118,364994,1,360431,485603,"RING STACKER",3,361825,368097,"1",
119,365033,1,360431,485603,"RING STACKER",3,361825,368097,"1",
120,365072,1,360431,485603,"RING STACKER",3,361825,368097,"1",
121,365111,1,360431,485603,"RING STACKER",3,361825,368097,"1",
122,365150,1,360431,485603,"RING STACKER",3,361825,368097,"1",
123,365189,1,360431,485603,"RING STACKER",3,361825,368097,"1",
124,365228,1,360431,485603,"RING STACKER",3,361825,368097,"1",
125,365267,1,360431,485603,"RING STACKER",3,361825,368097,"1",
126,365306,1,360431,485603,"RING STACKER",3,361825,368097,"1",
127,365345,1,360431,485603,"RING STACKER",3,361825,368097,"1",
128,365384,1,360431,485603,"RING STACKER",3,361825,368097,"1",
129,365423,1,360431,485603,"RING STACKER",3,361825,368097,"1",
130,365462,1,360431,485603,"RING STACKER",3,361825,368097,"1",
131,365501,1,360431,485603,"RING STACKER",3,361825,368097,"1",
132,365540,1,360431,485603,"RING STACKER",3,361825,368097,"1",
133,365579,1,360431,485603,"RING STACKER",3,361825,368097,"1",
134,365618,1,360431,485603,"RING STACKER",3,361825,368097,"1",
135,365657,1,360431,485603,"RING STACKER",3,361825,368097,"1",
136,365696,1,360431,485603,"RING STACKER",3,361825,368097,"1",
137,365735,1,360431,485603,"RING STACKER",3,361825,368097,"1",
138,365774,1,360431,485603,"RING STACKER",3,361825,368097,"1",
139,365813,1,360431,485603,"RING STACKER",3,361825,368097,"1",
140,365852,1,360431,485603,"RING STACKER",3,361825,368097,"1",
141,365891,1,360431,485603,"RING STACKER",3,361825,368097,"1",
142,365930,1,360431,485603,"RING STACKER",3,361825,368097,"1",
143,365969,1,360431,485603,"RING STACKER",3,361825,368097,"1",
144,366008,1,360431,485603,"RING STACKER",3,361825,368097,"1",
145,366047,1,360431,485603,"RING STACKER",3,361825,368097,"1",
146,366086,1,360431,485603,"RING STACKER",3,361825,368097,"1",
147,366125,1,360431,485603,"RING STACKER",3,361825,368097,"1",
148,366164,1,360431,485603,"RING STACKER",3,361825,368097,"1",
149,366203,1,360431,485603,"RING STACKER",3,361825,368097,"1",
150,366242,1,360431,485603,"RING STACKER",3,361825,368097,"1",
151,366281,1,360431,485603,"RING STACKER",3,361825,368097,"1",
152,366320,1,360431,485603,"RING STACKER",3,361825,368097,"1",
153,366359,1,360431,485603,"RING STACKER",3,361825,368097,"1",
154,366398,1,360431,485603,"RING STACKER",3,361825,368097,"1",
155,366437,1,360431,485603,"RING STACKER",3,361825,368097,"1",
156,366476,1,360431,485603,"RING STACKER",3,361825,368097,"1",
157,366515,1,360431,485603,"RING STACKER",3,361825,368097,"1",
158,366554,1,360431,485603,"RING STACKER",3,361825,368097,"1",
159,366593,1,360431,485603,"RING STACKER",3,361825,368097,"1",
160,366632,1,360431,485603,"RING STACKER",3,361825,368097,"1",
161,366671,1,360431,485603,"RING STACKER",3,361825,368097,"1",
162,366710,1,360431,485603,"RING STACKER",3,361825,368097,"1",
163,366749,1,360431,485603,"RING STACKER",3,361825,368097,"1",
164,366788,1,360431,485603,"RING STACKER",3,361825,368097,"1",
165,366827,1,360431,485603,"RING STACKER",3,361825,368097,"1",
166,366866,1,360431,485603,"RING STACKER",3,361825,368097,"1",
167,366905,1,360431,485603,"RING STACKER",3,361825,368097,"1",
168,366944,1,360431,485603,"RING STACKER",3,361825,368097,"1",
169,366983,1,360431,485603,"RING STACKER",3,361825,368097,"1",
170,367022,1,360431,485603,"RING STACKER",3,361825,368097,"1",
171,367061,1,360431,485603,"RING STACKER",3,361825,368097,"1",
172,367100,1,360431,485603,"RING STACKER",3,361825,368097,"1",
173,367139,1,360431,485603,"RING STACKER",3,361825,368097,"1",
174,367178,1,360431,485603,"RING STACKER",3,361825,368097,"1",
175,367217,1,360431,485603,"RING STACKER",3,361825,368097,"1",
176,367256,1,360431,485603,"RING STACKER",3,361825,368097,"1",
177,367295,1,360431,485603,"RING STACKER",3,361825,368097,"1",
178,367334,1,360431,485603,"RING STACKER",3,361825,368097,"1",
179,367373,1,360431,485603,"RING STACKER",3,361825,368097,"1",
180,367412,1,360431,485603,"RING STACKER",3,361825,368097,"1",
181,367451,1,360431,485603,"RING STACKER",3,361825,368097,"1",
182,367490,1,360431,485603,"RING STACKER",3,361825,368097,"1",
183,367529,1,360431,485603,"RING STACKER",3,361825,368097,"1",
184,367568,1,360431,485603,"RING STACKER",3,361825,368097,"1",
