source_project,project_id,record_id,rule_R1,rule_R2,rule_R5,rule_R8,rule_R9,tier1_hit_count,tier1_any_hit,tier1_hard_candidate_ge2,tier1_hard_candidate_ge3,tier1_all_5_hits,tier1_rule_combo
dirty_4581,4581,1120,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1131,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1132,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1134,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1136,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,115,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1162,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1168,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1172,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1175,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1184,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1194,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1196,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1199,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1200,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1205,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1213,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1225,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,123,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1232,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1235,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1237,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1266,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1269,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1274,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1287,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1288,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1293,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1295,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1301,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1302,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,131,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1311,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1315,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1319,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1325,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1327,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,133,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1330,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1332,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1340,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,135,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1351,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1355,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,137,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1378,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1386,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1388,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1390,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1393,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1395,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1396,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1397,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1398,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1405,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1408,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1409,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,141,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1410,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1414,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1419,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1426,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1438,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,144,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1440,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1441,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1449,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1450,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,147,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1477,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1478,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1497,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1499,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1501,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1510,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1512,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1514,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1515,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1516,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1518,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1536,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1538,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1539,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1542,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1548,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1549,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1556,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1573,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1576,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1579,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1583,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1592,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1595,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1626,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1627,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1633,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1635,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1636,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1639,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1644,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1651,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1657,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1658,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1659,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1670,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1673,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1678,False,True,False,True,False,2,True,True,False,False,R2+R8
dirty_4581,4581,1680,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1683,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1689,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1700,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1708,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1709,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1713,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1725,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1729,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,173,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,175,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1759,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1760,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1761,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1769,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1773,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,1774,False,True,False,True,False,2,True,True,False,False,R2+R8
dirty_4581,4581,182,False,True,False,True,False,2,True,True,False,False,R2+R8
dirty_4581,4581,185,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,193,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,206,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,223,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,227,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,235,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,244,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,248,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,249,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,250,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,252,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,256,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,268,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,289,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,292,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,320,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,333,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,338,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,339,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,343,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,347,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,353,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,355,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,369,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,384,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,388,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,389,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,396,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,398,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,403,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,405,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,410,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,418,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,421,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,431,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,442,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,450,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,451,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,453,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,455,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,456,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,474,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,480,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,481,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,483,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,484,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,486,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,490,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,491,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,511,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,513,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,518,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,522,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,530,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,531,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,535,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,537,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,54,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,540,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,544,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,545,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,548,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,549,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,56,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,564,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,57,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,575,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,579,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,58,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,580,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,606,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,607,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,616,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,62,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,656,True,True,False,False,False,2,True,True,False,False,R1+R2
dirty_4581,4581,659,True,True,False,False,False,2,True,True,False,False,R1+R2
